Date,GSPC,IXIC,DJI,RUT,GDAXI,FTSE,FCHI,HSI,N225,BSESN,BVSP
2024-12-30,5906.93994140625,19486.7890625,42573.73046875,2227.780029296875,19909.140625,8121.0,7313.56005859375,20041.419921875,39894.5390625,78248.1328125,120283.0
2024-12-31,5881.6298828125,19310.7890625,42544.21875,2230.159912109375,19909.140625,8173.0,7380.740234375,20059.94921875,39894.5390625,78139.0078125,120283.0
2025-01-01,5881.6298828125,19310.7890625,42544.21875,2230.159912109375,19909.140625,8173.0,7380.740234375,20059.94921875,39894.5390625,78507.40625,120283.0
2025-01-02,5868.5498046875,19280.7890625,42392.26953125,2231.669921875,20024.66015625,8260.099609375,7393.759765625,19623.3203125,39894.5390625,79943.7109375,120125.0
2025-01-03,5942.47021484375,19621.6796875,42732.12890625,2268.469970703125,19906.080078125,8224.0,7282.22021484375,19760.26953125,39894.5390625,79223.109375,118533.0
2025-01-06,5975.3798828125,19864.98046875,42706.55859375,2266.64990234375,20216.189453125,8249.7001953125,7445.68994140625,19688.2890625,39307.05078125,77964.9921875,120022.0
2025-01-07,5909.02978515625,19489.6796875,42528.359375,2249.800048828125,20340.5703125,8245.2998046875,7489.35009765625,19447.580078125,40083.30078125,78199.109375,121163.0
2025-01-08,5918.25,19478.880859375,42635.19921875,2238.9599609375,20329.939453125,8251.0,7452.419921875,19279.83984375,39981.05859375,78148.4921875,119625.0
2025-01-09,5918.25,19478.880859375,42635.19921875,2238.9599609375,20317.099609375,8319.7001953125,7490.27978515625,19240.890625,39605.08984375,77620.2109375,119781.0
2025-01-10,5827.0400390625,19161.630859375,41938.44921875,2189.22998046875,20214.7890625,8248.5,7431.0400390625,19064.2890625,39190.3984375,77378.90625,118856.0
2025-01-13,5836.22021484375,19088.099609375,42297.12109375,2194.39990234375,20132.849609375,8224.2001953125,7408.64013671875,18874.140625,39190.3984375,76330.0078125,119007.0
2025-01-14,5842.91015625,19044.390625,42518.28125,2219.239990234375,20271.330078125,8201.5,7423.669921875,19219.779296875,38474.30078125,76499.6328125,119299.0
2025-01-15,5949.91015625,19511.23046875,43221.55078125,2263.2900390625,20574.6796875,8301.099609375,7474.58984375,19286.0703125,38444.578125,76724.078125,122650.0
